source,reference,lang,artifacts
"¿Puede usted ayudarme a abrir una cuenta corriente?","Can you help me open a checking account?","Spanish","2,3"
"Je voudrais retirer de l'argent au guichet automatique.","I would like to withdraw money at the ATM.","French Canadian","1"
"¿Puedo transferir $1.500,00 a mi cuenta de ahorros?","Can I transfer $1,500.00 to my savings account?","Spanish","9"
"Pourriez-vous me dire le solde de mon compte d'épargne libre d'impôt?","Could you tell me the balance of my TFSA?","French Canadian","1,2,5"
"No puedo acceder a mi banca en línea.","I cannot access my online banking.","Spanish","2,8"
"Je n'ai pas reçu ma carte de débit par la poste.","I have not received my debit card in the mail.","French Canadian","2,8"
"¿Cuándo vence mi plazo fijo?","When does my term deposit mature?","Spanish","3,7"
"Comment puis-je faire un virement Interac e-Transfer?","How can I make an Interac e-Transfer?","French Canadian","1,5"
"Necesito solicitar un préstamo personal.","I need to apply for a personal loan.","Spanish","4"
"¿Puede usted explicarme las comisiones por sobregiro?","Can you explain the overdraft fees to me?","Spanish","2,6"
"Mon prélèvement automatique n'a pas été effectué.","My automatic withdrawal has not been processed.","French Canadian","6,8"
"¿Mi hipoteca tiene seguro de la CMHC?","Is my mortgage insured by CMHC?","Spanish","5"
"Je veux augmenter la limite de mon compte chèques.","I want to increase the limit on my checking account.","French Canadian","3"
"¿Cuál es la tasa de interés actual para cuentas de ahorro?","What is the current interest rate for savings accounts?","Spanish","10"
"Pourriez-vous me donner un relevé de compte?","Could you give me an account statement?","French Canadian","2"
"Si cancelo mi tarjeta de crédito ahora, ¿hay penalidad?","If I cancel my credit card now, is there a penalty?","Spanish","7,10"
"¿Dónde está el cajero automático más cercano?","Where is the nearest ATM?","Spanish","1"
"Je dois réinitialiser mon NIP parce que je l'ai oublié.","I must reset my PIN because I forgot it.","French Canadian","1,5"
"¿Puede usted activar mi nueva tarjeta de débito?","Can you activate my new debit card?","Spanish","2"
"Quiero hacer un depósito de $250,75 en efectivo.","I want to make a cash deposit of $250.75.","Spanish","9"
"Est-ce que je peux obtenir un certificat de placement garanti?","Can I get a guaranteed investment certificate?","French Canadian","6"
"No puedo realizar transferencias desde mi aplicación móvil.","I cannot make transfers from my mobile app.","Spanish","4,8"
"¿Cuánto tiempo demora una transferencia bancaria internacional?","How long does an international wire transfer take?","Spanish","10"
"Je voudrais fermer mon compte conjoint.","I would like to close my joint account.","French Canadian","3"
"¿Puede usted aumentar mi límite de crédito?","Can you increase my credit limit?","Spanish","2"
"Mon hypothèque est-elle assurable par la SCHL?","Is my mortgage insurable by CMHC?","French Canadian","1,5"
"Necesito un extracto de los últimos tres meses.","I need a statement for the last three months.","Spanish","7"
"¿Cómo puedo agregar un beneficiario a mi testamento bancario?","How can I add a beneficiary to my bank will?","Spanish","10"
"Je n'ai pas autorisé cette transaction sur ma carte.","I did not authorize this transaction on my card.","French Canadian","8"
"¿Puedo vincular mi cuenta con Apple Pay?","Can I link my account with Apple Pay?","Spanish","0"
"Pourriez-vous m'envoyer un nouveau chéquier?","Could you send me a new checkbook?","French Canadian","2"
"Mi depósito a término vence el 15 de marzo.","My term deposit matures on March 15.","Spanish","3,7"
"¿Cuál es el monto mínimo para abrir una cuenta de inversión?","What is the minimum amount to open an investment account?","Spanish","10"
"Je veux modifier le montant de mon versement hypothécaire.","I want to change the amount of my mortgage payment.","French Canadian","0"
"¿Puede usted decirme si mi cheque ya fue cobrado?","Can you tell me if my check has already been cashed?","Spanish","2,10"
"Est-ce que vous offrez des comptes en devises américaines?","Do you offer accounts in US currency?","French Canadian","0"
"No recibí mi estado de cuenta mensual por correo electrónico.","I did not receive my monthly statement by email.","Spanish","8"
"¿Puedo pagar mi factura de servicios públicos desde mi cuenta corriente?","Can I pay my utility bill from my checking account?","Spanish","3"
"Je dois bloquer ma carte parce que je l'ai perdue.","I must block my card because I lost it.","French Canadian","0"
"¿Cómo funciona el seguro de depósitos de la CDIC?","How does CDIC deposit insurance work?","Spanish","5"